Midpoint LowerLim UpperLim Count ProbabilityDensity
-0.155 -0.16 0.01 0 0
-0.145 -0.15 0.02 3 2.32504e-06
-0.135 -0.14 0.03 1 7.75012e-07
-0.125 -0.13 0.04 1 7.75012e-07
-0.115 -0.12 0.05 3 2.32504e-06
-0.105 -0.11 0.06 1 7.75012e-07
-0.095 -0.1 0.07 4 3.10005e-06
-0.085 -0.09 0.08 18 1.39502e-05
-0.075 -0.08 0.09 51 3.95256e-05
-0.065 -0.07 0.1 123 9.53264e-05
-0.055 -0.06 0.11 335 0.000259629
-0.045 -0.05 0.12 976 0.000756411
-0.035 -0.04 0.13 3365 0.00260791
-0.025 -0.03 0.14 13606 0.0105448
-0.015 -0.02 0.15 84285 0.0653219
-0.005 -0.01 0.16 640290 0.496232
0.005 0 0.17 457258 0.35438
0.015 0.01 0.18 53529 0.0414856
0.025 0.02 0.19 15312 0.011867
0.035 0.03 0.2 7280 0.00564209
0.045 0.04 0.21 4296 0.00332945
0.055 0.05 0.22 2739 0.00212276
0.065 0.06 0.23 1989 0.0015415
0.075 0.07 0.24 1424 0.00110362
0.085 0.08 0.25 1023 0.000792837
0.095 0.09 0.26 727 0.000563434
0.105 0.1 0.27 549 0.000425481
0.115 0.11 0.28 389 0.00030148
0.125 0.12 0.29 281 0.000217778
0.135 0.13 0.3 166 0.000128652
0.145 0.14 0.31 136 0.000105402
0.155 0.15 0.32 65 5.03758e-05
0.165 0.16 0.33 31 2.40254e-05
0.175 0.17 0.34 21 1.62752e-05
0.185 0.18 0.35 12 9.30014e-06
0.195 0.19 0.36 8 6.20009e-06
0.205 0.2 0.37 3 2.32504e-06
0.215 0.21 0.38 0 0
0.225 0.22 0.39 3 2.32504e-06
0.235 0.23 0.4 0 0
0.245 0.24 0.41 0 0
