Midpoint LowerLim UpperLim Count ProbabilityDensity
-0.685 -0.69 0.01 0 0
-0.675 -0.68 0.02 1 6.3798e-08
-0.665 -0.67 0.03 0 0
-0.655 -0.66 0.04 1 6.3798e-08
-0.645 -0.65 0.05 2 1.27596e-07
-0.635 -0.64 0.06 0 0
-0.625 -0.63 0.07 1 6.3798e-08
-0.615 -0.62 0.08 1 6.3798e-08
-0.605 -0.61 0.09 3 1.91394e-07
-0.595 -0.6 0.1 2 1.27596e-07
-0.585 -0.59 0.11 3 1.91394e-07
-0.575 -0.58 0.12 0 0
-0.565 -0.57 0.13 2 1.27596e-07
-0.555 -0.56 0.14 3 1.91394e-07
-0.545 -0.55 0.15 2 1.27596e-07
-0.535 -0.54 0.16 3 1.91394e-07
-0.525 -0.53 0.17 4 2.55192e-07
-0.515 -0.52 0.18 2 1.27596e-07
-0.505 -0.51 0.19 3 1.91394e-07
-0.495 -0.5 0.2 4 2.55192e-07
-0.485 -0.49 0.21 8 5.10384e-07
-0.475 -0.48 0.22 5 3.1899e-07
-0.465 -0.47 0.23 6 3.82788e-07
-0.455 -0.46 0.24 14 8.93171e-07
-0.445 -0.45 0.25 6 3.82788e-07
-0.435 -0.44 0.26 13 8.29373e-07
-0.425 -0.43 0.27 12 7.65575e-07
-0.415 -0.42 0.28 10 6.3798e-07
-0.405 -0.41 0.29 17 1.08457e-06
-0.395 -0.4 0.3 14 8.93171e-07
-0.385 -0.39 0.31 23 1.46735e-06
-0.375 -0.38 0.32 16 1.02077e-06
-0.365 -0.37 0.33 31 1.97774e-06
-0.355 -0.36 0.34 28 1.78634e-06
-0.345 -0.35 0.35 46 2.93471e-06
-0.335 -0.34 0.36 42 2.67951e-06
-0.325 -0.33 0.37 70 4.46586e-06
-0.315 -0.32 0.38 52 3.31749e-06
-0.305 -0.31 0.39 67 4.27446e-06
-0.295 -0.3 0.4 83 5.29523e-06
-0.285 -0.29 0.41 111 7.08157e-06
-0.275 -0.28 0.42 127 8.10234e-06
-0.265 -0.27 0.43 179 1.14198e-05
-0.255 -0.26 0.44 191 1.21854e-05
-0.245 -0.25 0.45 264 1.68427e-05
-0.235 -0.24 0.46 340 2.16913e-05
-0.225 -0.23 0.47 365 2.32863e-05
-0.215 -0.22 0.48 514 3.27922e-05
-0.205 -0.21 0.49 641 4.08945e-05
-0.195 -0.2 0.5 821 5.23781e-05
-0.185 -0.19 0.51 1120 7.14537e-05
-0.175 -0.18 0.52 1453 9.26984e-05
-0.165 -0.17 0.53 1888 0.000120451
-0.155 -0.16 0.54 2586 0.000164982
-0.145 -0.15 0.55 3743 0.000238796
-0.135 -0.14 0.56 5232 0.000333791
-0.125 -0.13 0.57 7641 0.00048748
-0.115 -0.12 0.58 10859 0.000692782
-0.105 -0.11 0.59 16632 0.00106109
-0.095 -0.1 0.6 25581 0.00163202
-0.085 -0.09 0.61 39507 0.00252047
-0.075 -0.08 0.62 62101 0.00396192
-0.065 -0.07 0.63 100377 0.00640385
-0.055 -0.06 0.64 167121 0.010662
-0.045 -0.05 0.65 289590 0.0184753
-0.035 -0.04 0.66 518970 0.0331092
-0.025 -0.03 0.67 990563 0.0631959
-0.015 -0.02 0.68 2038463 0.13005
-0.00500001 -0.00999999 0.69 4286123 0.273446
0.00499999 0 0.7 3521273 0.22465
0.015 0.00999999 0.71 1555746 0.0992534
0.025 0.02 0.72 806470 0.0514511
0.035 0.03 0.73 426348 0.0272001
0.045 0.04 0.74 236639 0.0150971
0.055 0.05 0.75 139357 0.00889069
0.065 0.06 0.76 88894 0.00567126
0.075 0.07 0.77 61756 0.00393991
0.085 0.08 0.78 44715 0.00285273
0.095 0.09 0.79 34687 0.00221296
0.105 0.1 0.8 27507 0.00175489
0.115 0.11 0.81 22533 0.00143756
0.125 0.12 0.82 18895 0.00120546
0.135 0.13 0.83 15946 0.00101732
0.145 0.14 0.84 13845 0.000883283
0.155 0.15 0.85 12198 0.000778207
0.165 0.16 0.86 10742 0.000685318
0.175 0.17 0.87 9389 0.000598999
0.185 0.18 0.88 8242 0.000525823
0.195 0.19 0.89 7547 0.000481483
0.205 0.2 0.9 6725 0.000429041
0.215 0.21 0.91 5907 0.000376855
0.225 0.22 0.92 5180 0.000330473
0.235 0.23 0.93 4238 0.000270376
0.245 0.24 0.94 3602 0.0002298
0.255 0.25 0.95 2830 0.000180548
0.265 0.26 0.96 2290 0.000146097
0.275 0.27 0.97 1746 0.000111391
0.285 0.28 0.98 1311 8.36391e-05
0.295 0.29 0.99 1046 6.67327e-05
0.305 0.3 1 716 4.56793e-05
0.315 0.31 1.01 541 3.45147e-05
0.325 0.32 1.02 458 2.92195e-05
0.335 0.33 1.03 335 2.13723e-05
0.345 0.34 1.04 266 1.69703e-05
0.355 0.35 1.05 197 1.25682e-05
0.365 0.36 1.06 111 7.08157e-06
0.375 0.37 1.07 85 5.42283e-06
0.385 0.38 1.08 87 5.55042e-06
0.395 0.39 1.09 54 3.44509e-06
0.405 0.4 1.1 49 3.1261e-06
0.415 0.41 1.11 42 2.67951e-06
0.425 0.42 1.12 31 1.97774e-06
0.435 0.43 1.13 36 2.29673e-06
0.445 0.44 1.14 24 1.53115e-06
0.455 0.45 1.15 18 1.14836e-06
0.465 0.46 1.16 20 1.27596e-06
0.475 0.47 1.17 7 4.46586e-07
0.485 0.48 1.18 14 8.93171e-07
0.495 0.49 1.19 6 3.82788e-07
0.505 0.5 1.2 7 4.46586e-07
0.515 0.51 1.21 2 1.27596e-07
0.525 0.52 1.22 4 2.55192e-07
0.535 0.53 1.23 7 4.46586e-07
0.545 0.54 1.24 6 3.82788e-07
0.555 0.55 1.25 8 5.10384e-07
0.565 0.56 1.26 6 3.82788e-07
0.575 0.57 1.27 3 1.91394e-07
0.585 0.58 1.28 1 6.3798e-08
0.595 0.59 1.29 1 6.3798e-08
0.605 0.6 1.3 5 3.1899e-07
0.615 0.61 1.31 2 1.27596e-07
0.625 0.62 1.32 0 0
0.635 0.63 1.33 2 1.27596e-07
0.645 0.64 1.34 1 6.3798e-08
0.655 0.65 1.35 3 1.91394e-07
0.665 0.66 1.36 0 0
0.675 0.67 1.37 3 1.91394e-07
0.685 0.68 1.38 1 6.3798e-08
0.695 0.69 1.39 2 1.27596e-07
