Midpoint LowerLim UpperLim Count ProbabilityDensity
-2.055 -2.06 0.01 0 0
-2.045 -2.05 0.02 1 1.02743e-08
-2.035 -2.04 0.03 0 0
-2.025 -2.03 0.04 0 0
-2.015 -2.02 0.05 0 0
-2.005 -2.01 0.06 0 0
-1.995 -2 0.07 0 0
-1.985 -1.99 0.08 0 0
-1.975 -1.98 0.09 0 0
-1.965 -1.97 0.1 0 0
-1.955 -1.96 0.11 0 0
-1.945 -1.95 0.12 0 0
-1.935 -1.94 0.13 1 1.02743e-08
-1.925 -1.93 0.14 0 0
-1.915 -1.92 0.15 0 0
-1.905 -1.91 0.16 0 0
-1.895 -1.9 0.17 0 0
-1.885 -1.89 0.18 0 0
-1.875 -1.88 0.19 0 0
-1.865 -1.87 0.2 0 0
-1.855 -1.86 0.21 0 0
-1.845 -1.85 0.22 0 0
-1.835 -1.84 0.23 1 1.02743e-08
-1.825 -1.83 0.24 0 0
-1.815 -1.82 0.25 0 0
-1.805 -1.81 0.26 0 0
-1.795 -1.8 0.27 0 0
-1.785 -1.79 0.28 0 0
-1.775 -1.78 0.29 0 0
-1.765 -1.77 0.3 0 0
-1.755 -1.76 0.31 0 0
-1.745 -1.75 0.32 0 0
-1.735 -1.74 0.33 0 0
-1.725 -1.73 0.34 0 0
-1.715 -1.72 0.35 0 0
-1.705 -1.71 0.36 0 0
-1.695 -1.7 0.37 0 0
-1.685 -1.69 0.38 0 0
-1.675 -1.68 0.39 0 0
-1.665 -1.67 0.4 0 0
-1.655 -1.66 0.41 0 0
-1.645 -1.65 0.42 0 0
-1.635 -1.64 0.43 0 0
-1.625 -1.63 0.44 0 0
-1.615 -1.62 0.45 0 0
-1.605 -1.61 0.46 0 0
-1.595 -1.6 0.47 0 0
-1.585 -1.59 0.48 0 0
-1.575 -1.58 0.49 0 0
-1.565 -1.57 0.5 0 0
-1.555 -1.56 0.51 0 0
-1.545 -1.55 0.52 0 0
-1.535 -1.54 0.53 0 0
-1.525 -1.53 0.54 0 0
-1.515 -1.52 0.55 0 0
-1.505 -1.51 0.56 0 0
-1.495 -1.5 0.57 1 1.02743e-08
-1.485 -1.49 0.58 0 0
-1.475 -1.48 0.59 1 1.02743e-08
-1.465 -1.47 0.6 0 0
-1.455 -1.46 0.61 0 0
-1.445 -1.45 0.62 1 1.02743e-08
-1.435 -1.44 0.63 0 0
-1.425 -1.43 0.64 1 1.02743e-08
-1.415 -1.42 0.65 0 0
-1.405 -1.41 0.66 1 1.02743e-08
-1.395 -1.4 0.67 0 0
-1.385 -1.39 0.68 1 1.02743e-08
-1.375 -1.38 0.69 0 0
-1.365 -1.37 0.7 2 2.05485e-08
-1.355 -1.36 0.71 0 0
-1.345 -1.35 0.72 1 1.02743e-08
-1.335 -1.34 0.73 0 0
-1.325 -1.33 0.74 0 0
-1.315 -1.32 0.75 0 0
-1.305 -1.31 0.76 0 0
-1.295 -1.3 0.77 1 1.02743e-08
-1.285 -1.29 0.78 0 0
-1.275 -1.28 0.79 1 1.02743e-08
-1.265 -1.27 0.8 0 0
-1.255 -1.26 0.81 2 2.05485e-08
-1.245 -1.25 0.82 1 1.02743e-08
-1.235 -1.24 0.83 1 1.02743e-08
-1.225 -1.23 0.84 1 1.02743e-08
-1.215 -1.22 0.85 1 1.02743e-08
-1.205 -1.21 0.86 1 1.02743e-08
-1.195 -1.2 0.87 2 2.05485e-08
-1.185 -1.19 0.88 1 1.02743e-08
-1.175 -1.18 0.89 2 2.05485e-08
-1.165 -1.17 0.9 2 2.05485e-08
-1.155 -1.16 0.91 0 0
-1.145 -1.15 0.92 1 1.02743e-08
-1.135 -1.14 0.93 1 1.02743e-08
-1.125 -1.13 0.94 3 3.08228e-08
-1.115 -1.12 0.95 0 0
-1.105 -1.11 0.96 3 3.08228e-08
-1.095 -1.1 0.97 0 0
-1.085 -1.09 0.98 1 1.02743e-08
-1.075 -1.08 0.99 3 3.08228e-08
-1.065 -1.07 1 0 0
-1.055 -1.06 1.01 2 2.05485e-08
-1.045 -1.05 1.02 1 1.02743e-08
-1.035 -1.04 1.03 2 2.05485e-08
-1.025 -1.03 1.04 1 1.02743e-08
-1.015 -1.02 1.05 2 2.05485e-08
-1.005 -1.01 1.06 3 3.08228e-08
-0.995 -1 1.07 4 4.10971e-08
-0.985 -0.99 1.08 6 6.16456e-08
-0.975 -0.98 1.09 8 8.21941e-08
-0.965 -0.97 1.1 1 1.02743e-08
-0.955 -0.96 1.11 6 6.16456e-08
-0.945 -0.95 1.12 5 5.13713e-08
-0.935 -0.94 1.13 5 5.13713e-08
-0.925 -0.93 1.14 5 5.13713e-08
-0.915 -0.92 1.15 4 4.10971e-08
-0.905 -0.91 1.16 5 5.13713e-08
-0.895 -0.9 1.17 9 9.24684e-08
-0.885 -0.89 1.18 6 6.16456e-08
-0.875 -0.88 1.19 3 3.08228e-08
-0.865 -0.87 1.2 8 8.21941e-08
-0.855 -0.86 1.21 8 8.21941e-08
-0.845 -0.85 1.22 8 8.21941e-08
-0.835 -0.84 1.23 14 1.4384e-07
-0.825 -0.83 1.24 8 8.21941e-08
-0.815 -0.82 1.25 10 1.02743e-07
-0.805 -0.81 1.26 6 6.16456e-08
-0.795 -0.8 1.27 21 2.1576e-07
-0.785 -0.79 1.28 13 1.33565e-07
-0.775 -0.78 1.29 16 1.64388e-07
-0.765 -0.77 1.3 22 2.26034e-07
-0.755 -0.76 1.31 22 2.26034e-07
-0.745 -0.75 1.32 21 2.1576e-07
-0.735 -0.74 1.33 27 2.77405e-07
-0.725 -0.73 1.34 39 4.00696e-07
-0.715 -0.72 1.35 40 4.10971e-07
-0.705 -0.71 1.36 40 4.10971e-07
-0.695 -0.7 1.37 41 4.21245e-07
-0.685 -0.69 1.38 40 4.10971e-07
-0.675 -0.68 1.39 42 4.31519e-07
