resoulution 2pc 25pc median mean 75pc 98pc minimum maximum
1 -0.0236441 -0.00512175 -0.00087185 0.000202268 0.00286906 0.0310972 -0.262845 0.474949
2 -0.0251461 -0.00562416 -0.000899808 -0.00016475 0.00341511 0.0323268 -0.272372 0.470416
3 -0.0308784 -0.00709135 -0.000892657 -0.00013382 0.00502292 0.0370338 -0.307924 0.576808
4 -0.0238687 -0.00544754 -0.00084857 -0.000116956 0.00337699 0.031179 -0.198459 0.406405
5 -0.0210561 -0.00484801 -0.000786548 -0.000113182 0.00283782 0.0288356 -0.161592 0.3225
6 -0.0191284 -0.00432778 -0.000736158 -0.000112873 0.00240171 0.0271931 -0.177711 0.301385
7 -0.0178404 -0.00401257 -0.000695387 -0.000107513 0.00214439 0.0259627 -0.148144 0.229588
8 -0.0168956 -0.00380568 -0.000650438 -0.000104725 0.00200607 0.0248294 -0.104212 0.234377
9 -0.0161944 -0.00365564 -0.000618633 -0.000100595 0.00190969 0.0240013 -0.10108 0.187894
10 -0.0156098 -0.00351424 -0.000593874 -0.000102403 0.0018351 0.023215 -0.0978461 0.158057
