Midpoint LowerLim UpperLim Count ProbabilityDensity
-1.345 -1.35 0.01 0 0
-1.335 -1.34 0.02 1 9.22885e-08
-1.325 -1.33 0.03 0 0
-1.315 -1.32 0.04 0 0
-1.305 -1.31 0.05 0 0
-1.295 -1.3 0.06 0 0
-1.285 -1.29 0.07 0 0
-1.275 -1.28 0.08 0 0
-1.265 -1.27 0.09 0 0
-1.255 -1.26 0.1 0 0
-1.245 -1.25 0.11 0 0
-1.235 -1.24 0.12 0 0
-1.225 -1.23 0.13 0 0
-1.215 -1.22 0.14 0 0
-1.205 -1.21 0.15 0 0
-1.195 -1.2 0.16 0 0
-1.185 -1.19 0.17 0 0
-1.175 -1.18 0.18 0 0
-1.165 -1.17 0.19 0 0
-1.155 -1.16 0.2 0 0
-1.145 -1.15 0.21 0 0
-1.135 -1.14 0.22 0 0
-1.125 -1.13 0.23 0 0
-1.115 -1.12 0.24 0 0
-1.105 -1.11 0.25 0 0
-1.095 -1.1 0.26 0 0
-1.085 -1.09 0.27 0 0
-1.075 -1.08 0.28 1 9.22885e-08
-1.065 -1.07 0.29 0 0
-1.055 -1.06 0.3 0 0
-1.045 -1.05 0.31 0 0
-1.035 -1.04 0.32 0 0
-1.025 -1.03 0.33 0 0
-1.015 -1.02 0.34 1 9.22885e-08
-1.005 -1.01 0.35 1 9.22885e-08
-0.995 -1 0.36 0 0
-0.985 -0.99 0.37 0 0
-0.975 -0.98 0.38 0 0
-0.965 -0.97 0.39 0 0
-0.955 -0.96 0.4 0 0
-0.945 -0.95 0.41 0 0
-0.935 -0.94 0.42 0 0
-0.925 -0.93 0.43 0 0
-0.915 -0.92 0.44 0 0
-0.905 -0.91 0.45 0 0
-0.895 -0.9 0.46 0 0
-0.885 -0.89 0.47 0 0
-0.875 -0.88 0.48 0 0
-0.865 -0.87 0.49 0 0
-0.855 -0.86 0.5 2 1.84577e-07
-0.845 -0.85 0.51 0 0
-0.835 -0.84 0.52 0 0
-0.825 -0.83 0.53 0 0
-0.815 -0.82 0.54 1 9.22885e-08
-0.805 -0.81 0.55 0 0
-0.795 -0.8 0.56 4 3.69154e-07
-0.785 -0.79 0.57 0 0
-0.775 -0.78 0.58 0 0
-0.765 -0.77 0.59 1 9.22885e-08
-0.755 -0.76 0.6 1 9.22885e-08
-0.745 -0.75 0.61 1 9.22885e-08
-0.735 -0.74 0.62 1 9.22885e-08
-0.725 -0.73 0.63 2 1.84577e-07
-0.715 -0.72 0.64 0 0
-0.705 -0.71 0.65 2 1.84577e-07
-0.695 -0.7 0.66 2 1.84577e-07
-0.685 -0.69 0.67 0 0
-0.675 -0.68 0.68 2 1.84577e-07
-0.665 -0.67 0.69 1 9.22885e-08
-0.655 -0.66 0.7 2 1.84577e-07
-0.645 -0.65 0.71 1 9.22885e-08
-0.635 -0.64 0.72 0 0
-0.625 -0.63 0.73 4 3.69154e-07
-0.615 -0.62 0.74 3 2.76866e-07
-0.605 -0.61 0.75 6 5.53731e-07
-0.595 -0.6 0.76 5 4.61443e-07
-0.585 -0.59 0.77 6 5.53731e-07
-0.575 -0.58 0.78 4 3.69154e-07
-0.565 -0.57 0.79 5 4.61443e-07
-0.555 -0.56 0.8 9 8.30597e-07
-0.545 -0.55 0.81 8 7.38308e-07
-0.535 -0.54 0.82 9 8.30597e-07
-0.525 -0.53 0.83 15 1.38433e-06
-0.515 -0.52 0.84 17 1.5689e-06
-0.505 -0.51 0.85 14 1.29204e-06
-0.495 -0.5 0.86 16 1.47662e-06
-0.485 -0.49 0.87 22 2.03035e-06
-0.475 -0.48 0.88 22 2.03035e-06
-0.465 -0.47 0.89 39 3.59925e-06
-0.455 -0.46 0.9 32 2.95323e-06
-0.445 -0.45 0.91 39 3.59925e-06
-0.435 -0.44 0.92 43 3.96841e-06
-0.425 -0.43 0.93 52 4.799e-06
-0.415 -0.42 0.94 65 5.99875e-06
-0.405 -0.41 0.95 77 7.10622e-06
-0.395 -0.4 0.96 101 9.32114e-06
-0.385 -0.39 0.97 91 8.39825e-06
-0.375 -0.38 0.98 116 1.07055e-05
-0.365 -0.37 0.99 126 1.16284e-05
-0.355 -0.36 1 162 1.49507e-05
-0.345 -0.35 1.01 165 1.52276e-05
-0.335 -0.34 1.02 240 2.21492e-05
-0.325 -0.33 1.03 238 2.19647e-05
-0.315 -0.32 1.04 314 2.89786e-05
-0.305 -0.31 1.05 362 3.34084e-05
-0.295 -0.3 1.06 433 3.99609e-05
-0.285 -0.29 1.07 511 4.71594e-05
-0.275 -0.28 1.08 595 5.49117e-05
-0.265 -0.27 1.09 704 6.49711e-05
-0.255 -0.26 1.1 917 8.46286e-05
-0.245 -0.25 1.11 1133 0.000104563
-0.235 -0.24 1.12 1289 0.00011896
-0.225 -0.23 1.13 1677 0.000154768
-0.215 -0.22 1.14 2007 0.000185223
-0.205 -0.21 1.15 2623 0.000242073
-0.195 -0.2 1.16 3374 0.000311381
-0.185 -0.19 1.17 4211 0.000388627
-0.175 -0.18 1.18 5545 0.00051174
-0.165 -0.17 1.19 7268 0.000670753
-0.155 -0.16 1.2 9474 0.000874341
-0.145 -0.15 1.21 12760 0.0011776
-0.135 -0.14 1.22 16991 0.00156807
-0.125 -0.13 1.23 22866 0.00211027
-0.115 -0.12 1.24 31506 0.00290764
-0.105 -0.11 1.25 43475 0.00401224
-0.0950001 -0.1 1.26 61433 0.00566956
-0.0850001 -0.09 1.27 87965 0.00811816
-0.0750001 -0.08 1.28 126271 0.0116534
-0.065 -0.0700001 1.29 186278 0.0171913
-0.0550001 -0.0600001 1.3 279141 0.0257615
-0.0450001 -0.0500001 1.31 418350 0.0386089
-0.0350001 -0.0400001 1.32 630372 0.0581761
-0.0250001 -0.0300001 1.33 940183 0.0867681
-0.0150001 -0.0200001 1.34 1368661 0.126312
-0.00500005 -0.0100001 1.35 1819451 0.167914
0.00499995 0 1.36 1564537 0.144389
0.0149999 0.00999999 1.37 942611 0.0869922
0.0249999 0.02 1.38 583890 0.0538863
0.0349999 0.03 1.39 384859 0.0355181
0.0449999 0.04 1.4 268207 0.0247524
0.0549999 0.05 1.41 194459 0.0179463
0.0649999 0.0599999 1.42 145267 0.0134065
0.0749999 0.0699999 1.43 111791 0.010317
0.0849999 0.0799999 1.44 88041 0.00812517
0.0949999 0.0899999 1.45 70290 0.00648696
0.105 0.0999999 1.46 56575 0.00522122
0.115 0.11 1.47 46511 0.00429243
0.125 0.12 1.48 38565 0.00355911
0.135 0.13 1.49 32408 0.00299089
0.145 0.14 1.5 27736 0.00255971
0.155 0.15 1.51 23780 0.00219462
0.165 0.16 1.52 20791 0.00191877
0.175 0.17 1.53 17929 0.00165464
0.185 0.18 1.54 15817 0.00145973
0.195 0.19 1.55 13799 0.00127349
0.205 0.2 1.56 11950 0.00110285
0.215 0.21 1.57 10642 0.000982134
0.225 0.22 1.58 9303 0.00085856
0.235 0.23 1.59 8110 0.00074846
0.245 0.24 1.6 7239 0.000668077
0.255 0.25 1.61 6243 0.000576157
