Midpoint LowerLim UpperLim Count ProbabilityDensity
-0.405 -0.41 0.01 0 0
-0.395 -0.4 0.02 1 1.12104e-06
-0.385 -0.39 0.03 0 0
-0.375 -0.38 0.04 1 1.12104e-06
-0.365 -0.37 0.05 0 0
-0.355 -0.36 0.06 0 0
-0.345 -0.35 0.07 1 1.12104e-06
-0.335 -0.34 0.08 1 1.12104e-06
-0.325 -0.33 0.09 0 0
-0.315 -0.32 0.1 0 0
-0.305 -0.31 0.11 1 1.12104e-06
-0.295 -0.3 0.12 0 0
-0.285 -0.29 0.13 0 0
-0.275 -0.28 0.14 3 3.36312e-06
-0.265 -0.27 0.15 1 1.12104e-06
-0.255 -0.26 0.16 2 2.24208e-06
-0.245 -0.25 0.17 1 1.12104e-06
-0.235 -0.24 0.18 4 4.48415e-06
-0.225 -0.23 0.19 1 1.12104e-06
-0.215 -0.22 0.2 2 2.24208e-06
-0.205 -0.21 0.21 2 2.24208e-06
-0.195 -0.2 0.22 4 4.48415e-06
-0.185 -0.19 0.23 9 1.00893e-05
-0.175 -0.18 0.24 13 1.45735e-05
-0.165 -0.17 0.25 28 3.13891e-05
-0.155 -0.16 0.26 40 4.48415e-05
-0.145 -0.15 0.27 60 6.72623e-05
-0.135 -0.14 0.28 119 0.000133404
-0.125 -0.13 0.29 200 0.000224208
-0.115 -0.12 0.3 399 0.000447294
-0.105 -0.11 0.31 716 0.000802664
-0.095 -0.1 0.32 1369 0.0015347
-0.085 -0.09 0.33 2436 0.00273085
-0.075 -0.08 0.34 4385 0.00491575
-0.065 -0.07 0.35 7803 0.00874746
-0.055 -0.06 0.36 14427 0.0161732
-0.045 -0.05 0.37 26268 0.0294474
-0.035 -0.04 0.38 46375 0.0519882
-0.025 -0.03 0.39 78382 0.0878692
-0.015 -0.02 0.4 119706 0.134195
-0.00500001 -0.01 0.41 159599 0.178917
0.00499999 0 0.42 152753 0.171242
0.015 0.00999999 0.43 108316 0.121426
0.025 0.02 0.44 68703 0.0770187
0.035 0.03 0.45 40610 0.0455254
0.045 0.04 0.46 22896 0.0256673
0.055 0.05 0.47 13463 0.0150925
0.065 0.06 0.48 8113 0.00909499
0.075 0.07 0.49 4986 0.0055895
0.085 0.08 0.5 3310 0.00371064
0.095 0.09 0.51 2186 0.00245059
0.105 0.1 0.52 1517 0.00170062
0.115 0.11 0.53 1041 0.001167
0.125 0.12 0.54 664 0.00074437
0.135 0.13 0.55 405 0.000454021
0.145 0.14 0.56 285 0.000319496
0.155 0.15 0.57 170 0.000190577
0.165 0.16 0.58 118 0.000132283
0.175 0.17 0.59 54 6.05361e-05
0.185 0.18 0.6 33 3.69943e-05
0.195 0.19 0.61 23 2.57839e-05
0.205 0.2 0.62 7 7.84727e-06
0.215 0.21 0.63 10 1.12104e-05
0.225 0.22 0.64 1 1.12104e-06
0.235 0.23 0.65 1 1.12104e-06
0.245 0.24 0.66 2 2.24208e-06
0.255 0.25 0.67 2 2.24208e-06
0.265 0.26 0.68 1 1.12104e-06
0.275 0.27 0.69 0 0
0.285 0.28 0.7 0 0
0.295 0.29 0.71 0 0
0.305 0.3 0.72 0 0
0.315 0.31 0.73 0 0
0.325 0.32 0.74 0 0
0.335 0.33 0.75 1 1.12104e-06
0.345 0.34 0.76 0 0
0.355 0.35 0.77 0 0
