resoulution 2pc 25pc median mean 75pc 98pc minimum maximum
1 -0.100898 -0.0220611 -0.00383143 0.00357727 0.0135597 0.151636 -2.0438 1.84035
2 -0.0990553 -0.0224963 -0.00369225 6.54617e-05 0.0146724 0.147461 -2.09559 1.88366
3 -0.0923638 -0.0217538 -0.00351646 0.000552571 0.0143855 0.140296 -1.33335 1.64136
4 -0.0732627 -0.0176264 -0.00299119 0.000344387 0.0113902 0.114438 -0.647693 1.0747
5 -0.0615906 -0.0151224 -0.0025431 0.000283832 0.00984379 0.096044 -0.502831 0.591972
6 -0.054293 -0.0134499 -0.00221992 0.000259062 0.00893076 0.0838474 -0.5359 0.764461
7 -0.0490874 -0.0122598 -0.00197089 0.000230049 0.00831003 0.0747048 -0.292563 0.420823
8 -0.0447224 -0.0112384 -0.00174574 0.000189902 0.00782579 0.066878 -0.295093 0.405214
9 -0.0415517 -0.0104969 -0.00156148 0.000169506 0.00746637 0.0608407 -0.329926 0.318419
10 -0.0386597 -0.00981148 -0.00141207 0.000133784 0.00715623 0.0553785 -0.263258 0.306524
