resoulution 2pc 25pc median mean 75pc 98pc minimum maximum
1 -0.361468 -0.0894026 -0.000585689 0.00925648 0.0907905 0.356312 -4.84823 5.28689
2 -0.352341 -0.0875986 -0.000182952 -5.72821e-05 0.0885987 0.348547 -4.24319 5.74333
3 -0.357491 -0.0894688 -0.000470197 9.21922e-07 0.0897365 0.357528 -4.27911 3.52318
4 -0.240465 -0.0631255 -0.000791296 -1.0938e-05 0.0623823 0.245181 -2.14388 2.1315
5 -0.178568 -0.0485942 -0.000900417 -5.17369e-06 0.0475743 0.184905 -1.48394 1.14223
6 -0.141441 -0.0395407 -0.000829175 5.79856e-07 0.0383721 0.147834 -1.02307 0.894308
7 -0.116972 -0.0333916 -0.000801344 3.70249e-06 0.0323991 0.123632 -0.880511 0.665928
8 -0.100236 -0.0290163 -0.000799593 1.75959e-06 0.0279506 0.107121 -0.671329 0.518721
9 -0.0881293 -0.0257262 -0.000826498 3.5578e-07 0.0246294 0.0950211 -0.624927 0.362228
10 -0.0787621 -0.0230494 -0.000765365 -3.51755e-06 0.0221165 0.0851043 -0.35054 0.324868
