Midpoint LowerLim UpperLim Count ProbabilityDensity
5 0 10 0 0
15 10 20 7060 0.117237
25 20 30 12237 0.203205
35 30 40 11922 0.197974
45 40 50 9916 0.164663
55 50 60 7077 0.117519
65 60 70 4609 0.076536
75 70 80 3153 0.052358
85 80 90 1855 0.0308037
95 90 100 1131 0.0187811
105 100 110 696 0.0115576
115 110 120 288 0.00478246
125 120 130 149 0.00247426
135 130 140 71 0.00117901
145 140 150 29 0.000481568
155 150 160 15 0.000249087
165 160 170 11 0.000182664
175 170 180 0 0
185 180 190 0 0
195 190 200 1 1.66058e-05
205 200 210 0 0
215 210 220 0 0
