Midpoint LowerLim UpperLim Count ProbabilityDensity
-5 -10 10 0 0
5 0 20 3937 0.0301908
15 10 30 20840 0.159811
25 20 40 22538 0.172832
35 30 50 22264 0.170731
45 40 60 19452 0.149167
55 50 70 14913 0.11436
65 60 80 9735 0.0746526
75 70 90 6566 0.0503512
85 80 100 4445 0.0340864
95 90 110 2667 0.0204518
105 100 120 1485 0.0113877
115 110 130 704 0.00539861
125 120 140 430 0.00329744
135 130 150 210 0.00161038
145 140 160 108 0.000828195
155 150 170 61 0.000467777
165 160 180 23 0.000176375
175 170 190 24 0.000184043
185 180 200 0 0
195 190 210 1 7.66848e-06
205 200 220 1 7.66848e-06
215 210 230 0 0
225 220 240 0 0
