Midpoint LowerLim UpperLim Count ProbabilityDensity
45 40 10 0 0
55 50 20 131 0.046769
65 60 30 340 0.121385
75 70 40 341 0.121742
85 80 50 245 0.0874688
95 90 60 113 0.0403427
105 100 70 243 0.0867547
115 110 80 142 0.0506962
125 120 90 88 0.0314174
135 130 100 116 0.0414138
145 140 110 128 0.045698
155 150 120 67 0.02392
165 160 130 56 0.0199929
175 170 140 71 0.0253481
185 180 150 75 0.0267762
195 190 160 36 0.0128526
205 200 170 67 0.02392
215 210 180 64 0.022849
225 220 190 39 0.0139236
235 230 200 31 0.0110675
245 240 210 27 0.00963941
255 250 220 22 0.00785434
265 260 230 37 0.0132096
275 270 240 21 0.00749732
285 280 250 30 0.0107105
295 290 260 15 0.00535523
305 300 270 22 0.00785434
315 310 280 24 0.00856837
325 320 290 20 0.00714031
335 330 300 18 0.00642628
345 340 310 19 0.00678329
355 350 320 20 0.00714031
365 360 330 9 0.00321314
375 370 340 7 0.00249911
385 380 350 9 0.00321314
395 390 360 8 0.00285612
405 400 370 1 0.000357015
415 410 380 5 0.00178508
425 420 390 8 0.00285612
435 430 400 3 0.00107105
445 440 410 4 0.00142806
455 450 420 5 0.00178508
465 460 430 2 0.000714031
475 470 440 4 0.00142806
485 480 450 3 0.00107105
495 490 460 2 0.000714031
505 500 470 2 0.000714031
515 510 480 2 0.000714031
525 520 490 1 0.000357015
535 530 500 2 0.000714031
545 540 510 1 0.000357015
555 550 520 2 0.000714031
565 560 530 1 0.000357015
575 570 540 5 0.00178508
585 580 550 3 0.00107105
595 590 560 2 0.000714031
605 600 570 1 0.000357015
615 610 580 0 0
625 620 590 0 0
635 630 600 2 0.000714031
645 640 610 2 0.000714031
655 650 620 0 0
665 660 630 3 0.00107105
675 670 640 1 0.000357015
685 680 650 1 0.000357015
695 690 660 4 0.00142806
705 700 670 3 0.00107105
715 710 680 2 0.000714031
725 720 690 5 0.00178508
735 730 700 1 0.000357015
745 740 710 2 0.000714031
755 750 720 3 0.00107105
765 760 730 1 0.000357015
775 770 740 1 0.000357015
785 780 750 0 0
795 790 760 1 0.000357015
805 800 770 0 0
815 810 780 0 0
825 820 790 0 0
835 830 800 1 0.000357015
845 840 810 0 0
855 850 820 0 0
865 860 830 0 0
875 870 840 0 0
885 880 850 0 0
895 890 860 0 0
905 900 870 0 0
915 910 880 0 0
925 920 890 0 0
935 930 900 0 0
945 940 910 0 0
955 950 920 0 0
965 960 930 0 0
975 970 940 0 0
985 980 950 0 0
995 990 960 0 0
1005 1000 970 0 0
1015 1010 980 0 0
1025 1020 990 0 0
1035 1030 1000 0 0
1045 1040 1010 0 0
1055 1050 1020 0 0
1065 1060 1030 0 0
1075 1070 1040 0 0
1085 1080 1050 0 0
1095 1090 1060 0 0
1105 1100 1070 0 0
1115 1110 1080 0 0
1125 1120 1090 0 0
1135 1130 1100 0 0
1145 1140 1110 0 0
1155 1150 1120 0 0
1165 1160 1130 0 0
1175 1170 1140 1 0.000357015
1185 1180 1150 0 0
1195 1190 1160 0 0
1205 1200 1170 0 0
1215 1210 1180 0 0
1225 1220 1190 0 0
1235 1230 1200 1 0.000357015
1245 1240 1210 0 0
1255 1250 1220 0 0
1265 1260 1230 0 0
1275 1270 1240 0 0
1285 1280 1250 0 0
1295 1290 1260 1 0.000357015
1305 1300 1270 0 0
1315 1310 1280 0 0
1325 1320 1290 0 0
1335 1330 1300 1 0.000357015
1345 1340 1310 0 0
1355 1350 1320 0 0
1365 1360 1330 1 0.000357015
1375 1370 1340 1 0.000357015
1385 1380 1350 0 0
1395 1390 1360 0 0
1405 1400 1370 0 0
1415 1410 1380 0 0
1425 1420 1390 0 0
1435 1430 1400 0 0
1445 1440 1410 0 0
1455 1450 1420 0 0
1465 1460 1430 0 0
1475 1470 1440 0 0
1485 1480 1450 0 0
1495 1490 1460 0 0
1505 1500 1470 0 0
1515 1510 1480 0 0
1525 1520 1490 0 0
1535 1530 1500 0 0
1545 1540 1510 1 0.000357015
1555 1550 1520 0 0
1565 1560 1530 0 0
1575 1570 1540 0 0
1585 1580 1550 0 0
1595 1590 1560 0 0
1605 1600 1570 0 0
1615 1610 1580 0 0
1625 1620 1590 0 0
1635 1630 1600 0 0
1645 1640 1610 0 0
1655 1650 1620 0 0
1665 1660 1630 1 0.000357015
1675 1670 1640 0 0
1685 1680 1650 0 0
