Midpoint LowerLim UpperLim Count ProbabilityDensity
35 30 10 0 0
45 40 20 129 0.0613701
55 50 30 558 0.265461
65 60 40 399 0.189819
75 70 50 305 0.1451
85 80 60 214 0.101808
95 90 70 134 0.0637488
105 100 80 105 0.0499524
115 110 90 75 0.0356803
125 120 100 50 0.0237869
135 130 110 27 0.0128449
145 140 120 35 0.0166508
155 150 130 21 0.00999049
165 160 140 25 0.0118934
175 170 150 6 0.00285442
185 180 160 6 0.00285442
195 190 170 3 0.00142721
205 200 180 6 0.00285442
215 210 190 4 0.00190295
225 220 200 0 0
235 230 210 0 0
