Midpoint LowerLim UpperLim Count ProbabilityDensity
-5 -10 10 0 0
5 0 20 544 0.00384871
15 10 30 4312 0.0305067
25 20 40 4021 0.0284479
35 30 50 5040 0.0356572
45 40 60 5689 0.0402488
55 50 70 7580 0.0536273
65 60 80 8591 0.0607799
75 70 90 9751 0.0689867
85 80 100 10196 0.072135
95 90 110 10463 0.074024
105 100 120 10197 0.0721421
115 110 130 9375 0.0663266
125 120 140 8434 0.0596692
135 130 150 7499 0.0530542
145 140 160 6464 0.0457317
155 150 170 5561 0.0393432
165 160 180 4722 0.0334074
175 170 190 4172 0.0295162
185 180 200 3341 0.023637
195 190 210 2706 0.0191445
205 200 220 2240 0.0158476
215 210 230 1802 0.0127489
225 220 240 1546 0.0109377
235 230 250 1155 0.00817144
245 240 260 1052 0.00744273
255 250 270 799 0.0056528
265 260 280 679 0.00480381
275 270 290 492 0.00348082
285 280 300 431 0.00304926
295 290 310 370 0.00261769
305 300 320 293 0.00207293
315 310 330 258 0.00182531
325 320 340 191 0.00135129
335 330 350 194 0.00137252
345 340 360 150 0.00106123
355 350 370 145 0.00102585
365 360 380 116 0.000820681
375 370 390 107 0.000757008
385 380 400 101 0.000714559
395 390 410 83 0.000587212
405 400 420 66 0.000466939
415 410 430 57 0.000403266
425 420 440 57 0.000403266
435 430 450 30 0.000212245
445 440 460 30 0.000212245
455 450 470 46 0.000325443
465 460 480 30 0.000212245
475 470 490 44 0.000311293
485 480 500 27 0.000191021
495 490 510 28 0.000198095
505 500 520 25 0.000176871
515 510 530 14 9.90477e-05
525 520 540 10 7.07484e-05
535 530 550 2 1.41497e-05
545 540 560 5 3.53742e-05
555 550 570 6 4.2449e-05
565 560 580 3 2.12245e-05
575 570 590 1 7.07484e-06
585 580 600 2 1.41497e-05
595 590 610 0 0
605 600 620 0 0
615 610 630 0 0
625 620 640 0 0
635 630 650 0 0
645 640 660 0 0
655 650 670 0 0
665 660 680 0 0
675 670 690 0 0
685 680 700 0 0
695 690 710 0 0
705 700 720 0 0
715 710 730 1 7.07484e-06
725 720 740 0 0
735 730 750 0 0
