Midpoint LowerLim UpperLim Count ProbabilityDensity
5 0 10 0 0
15 10 20 13685 0.112401
25 20 30 21275 0.17474
35 30 40 23019 0.189065
45 40 50 20120 0.165254
55 50 60 15933 0.130864
65 60 70 10279 0.0844257
75 70 80 6425 0.0527712
85 80 90 4216 0.0346278
95 90 100 2685 0.022053
105 100 110 1612 0.01324
115 110 120 946 0.00776989
125 120 130 615 0.00505125
135 130 140 355 0.00291576
145 140 150 222 0.00182338
155 150 160 121 0.000993824
165 160 170 85 0.00069814
175 170 180 53 0.000435311
185 180 190 39 0.000320323
195 190 200 28 0.000229976
205 200 210 13 0.000106774
215 210 220 9 7.39208e-05
225 220 230 6 4.92805e-05
235 230 240 6 4.92805e-05
245 240 250 4 3.28537e-05
255 250 260 0 0
265 260 270 1 8.21342e-06
275 270 280 0 0
285 280 290 0 0
