Midpoint LowerLim UpperLim Count ProbabilityDensity
5 0 10 0 0
15 10 20 8059 0.0689558
25 20 30 37486 0.320744
35 30 40 29016 0.248272
45 40 50 18460 0.157951
55 50 60 10740 0.0918954
65 60 70 5959 0.0509874
75 70 80 3282 0.028082
85 80 90 1759 0.0150507
95 90 100 939 0.00803443
105 100 110 545 0.00466322
115 110 120 304 0.00260114
125 120 130 128 0.00109522
135 130 140 69 0.000590389
145 140 150 56 0.000479157
155 150 160 23 0.000196796
165 160 170 22 0.00018824
175 170 180 9 7.70073e-05
185 180 190 7 5.98946e-05
195 190 200 4 3.42255e-05
205 200 210 3 2.56691e-05
215 210 220 1 8.55637e-06
225 220 230 1 8.55637e-06
235 230 240 0 0
245 240 250 0 0
