Midpoint LowerLim UpperLim Count ProbabilityDensity
-5 -10 10 0 0
5 0 20 15043 0.0333843
15 10 30 84677 0.18792
25 20 40 95176 0.21122
35 30 50 90253 0.200295
45 40 60 66892 0.148451
55 50 70 42086 0.0933997
65 60 80 25141 0.0557944
75 70 90 14124 0.0313448
85 80 100 7986 0.017723
95 90 110 4196 0.00931201
105 100 120 2123 0.00471149
115 110 130 1328 0.00294717
125 120 140 641 0.00142254
135 130 150 353 0.000783398
145 140 160 216 0.00047936
155 150 170 151 0.000335108
165 160 180 75 0.000166444
175 170 190 45 9.98666e-05
185 180 200 44 9.76474e-05
195 190 210 33 7.32355e-05
205 200 220 13 2.88504e-05
215 210 230 4 8.87703e-06
225 220 240 1 2.21926e-06
235 230 250 0 0
245 240 260 0 0
