Midpoint LowerLim UpperLim Count ProbabilityDensity
35 30 10 0 0
45 40 20 545 0.168574
55 50 30 729 0.225487
65 60 40 521 0.161151
75 70 50 386 0.119394
85 80 60 307 0.0949582
95 90 70 205 0.0634086
105 100 80 164 0.0507269
115 110 90 114 0.0352614
125 120 100 60 0.0185586
135 130 110 57 0.0176307
145 140 120 43 0.0133003
155 150 130 33 0.0102072
165 160 140 16 0.00494896
175 170 150 10 0.0030931
185 180 160 13 0.00402103
195 190 170 7 0.00216517
205 200 180 9 0.00278379
215 210 190 7 0.00216517
225 220 200 4 0.00123724
235 230 210 3 0.000927931
245 240 220 0 0
255 250 230 0 0
