Midpoint LowerLim UpperLim Count ProbabilityDensity
15 10 10 0 0
25 20 20 8238 0.243612
35 30 30 8054 0.238171
45 40 40 6152 0.181926
55 50 50 4306 0.127336
65 60 60 2859 0.0845458
75 70 70 1792 0.0529927
85 80 80 1098 0.0324698
95 90 90 614 0.0181571
105 100 100 341 0.010084
115 110 110 167 0.00493849
125 120 120 96 0.00283889
135 130 130 55 0.00162645
145 140 140 25 0.000739295
155 150 150 7 0.000207003
165 160 160 5 0.000147859
175 170 170 2 5.91436e-05
185 180 180 3 8.87154e-05
195 190 190 0 0
205 200 200 2 5.91436e-05
215 210 210 0 0
225 220 220 0 0
