Midpoint LowerLim UpperLim Count ProbabilityDensity
-5 -10 10 0 0
5 0 20 7245 0.0216026
15 10 30 11096 0.0330852
25 20 40 11241 0.0335175
35 30 50 11784 0.0351366
45 40 60 12984 0.0387146
55 50 70 14814 0.0441712
65 60 80 17017 0.0507399
75 70 90 19208 0.0572729
85 80 100 20359 0.0607048
95 90 110 21706 0.0647212
105 100 120 21108 0.0629381
115 110 130 20789 0.061987
125 120 140 19870 0.0592468
135 130 150 18368 0.0547682
145 140 160 15866 0.047308
155 150 170 14038 0.0418574
165 160 180 12459 0.0371492
175 170 190 11159 0.033273
185 180 200 9529 0.0284128
195 190 210 8014 0.0238955
205 200 220 6372 0.0189995
215 210 230 5283 0.0157524
225 220 240 4393 0.0130987
235 230 250 3692 0.0110085
245 240 260 2879 0.00858437
255 250 270 2499 0.00745132
265 260 280 2005 0.00597835
275 270 290 1642 0.00489598
285 280 300 1235 0.00368242
295 290 310 1016 0.00302943
305 300 320 766 0.002284
315 310 330 598 0.00178307
325 320 340 530 0.00158031
335 330 350 375 0.00111814
345 340 360 340 0.00101378
355 350 370 352 0.00104957
365 360 380 313 0.000933278
375 370 390 295 0.000879607
385 380 400 240 0.000715613
395 390 410 221 0.00065896
405 400 420 253 0.000754375
415 410 430 221 0.00065896
425 420 440 151 0.00045024
435 430 450 139 0.000414459
445 440 460 119 0.000354825
455 450 470 101 0.000301154
465 460 480 107 0.000319044
475 470 490 79 0.000235556
485 480 500 70 0.00020872
495 490 510 54 0.000161013
505 500 520 43 0.000128214
515 510 530 58 0.00017294
525 520 540 62 0.000184867
535 530 550 52 0.000155049
545 540 560 28 8.34881e-05
555 550 570 20 5.96344e-05
565 560 580 21 6.26161e-05
575 570 590 15 4.47258e-05
585 580 600 12 3.57806e-05
595 590 610 13 3.87623e-05
605 600 620 16 4.77075e-05
615 610 630 10 2.98172e-05
625 620 640 12 3.57806e-05
635 630 650 9 2.68355e-05
645 640 660 5 1.49086e-05
655 650 670 2 5.96344e-06
665 660 680 3 8.94516e-06
675 670 690 1 2.98172e-06
685 680 700 0 0
695 690 710 0 0
705 700 720 0 0
715 710 730 0 0
725 720 740 0 0
735 730 750 0 0
745 740 760 0 0
755 750 770 0 0
765 760 780 0 0
775 770 790 0 0
785 780 800 0 0
795 790 810 0 0
805 800 820 0 0
815 810 830 1 2.98172e-06
825 820 840 0 0
835 830 850 0 0
