Midpoint LowerLim UpperLim Count ProbabilityDensity
5 0 10 0 0
15 10 20 5568 0.0328843
25 20 30 9858 0.0582208
35 30 40 14080 0.0831557
45 40 50 16029 0.0946663
55 50 60 16996 0.100377
65 60 70 19148 0.113087
75 70 80 16495 0.0974185
85 80 90 14978 0.0884592
95 90 100 11857 0.0700268
105 100 110 9166 0.0541339
115 110 120 7280 0.0429953
125 120 130 5600 0.0330733
135 130 140 4522 0.0267067
145 140 150 3474 0.0205172
155 150 160 2617 0.0154559
165 160 170 2097 0.0123848
175 170 180 1676 0.00989836
185 180 190 1359 0.00802618
195 190 200 1138 0.00672096
205 200 210 938 0.00553977
215 210 220 722 0.00426409
225 220 230 583 0.00344316
235 230 240 497 0.00293525
245 240 250 437 0.0025809
255 250 260 348 0.00205527
265 260 270 292 0.00172454
275 270 280 282 0.00166548
285 280 290 218 0.0012875
295 290 300 163 0.000962669
305 300 310 149 0.000879985
315 310 320 116 0.000685089
325 320 330 111 0.00065556
335 330 340 94 0.000555159
345 340 350 64 0.00037798
355 350 360 67 0.000395698
365 360 370 54 0.000318921
375 370 380 43 0.000253956
385 380 390 36 0.000212614
395 390 400 25 0.000147649
405 400 410 24 0.000141743
415 410 420 12 7.08713e-05
425 420 430 17 0.000100401
435 430 440 15 8.85891e-05
445 440 450 14 8.26832e-05
455 450 460 4 2.36238e-05
465 460 470 7 4.13416e-05
475 470 480 1 5.90594e-06
485 480 490 3 1.77178e-05
495 490 500 2 1.18119e-05
505 500 510 1 5.90594e-06
515 510 520 3 1.77178e-05
525 520 530 1 5.90594e-06
535 530 540 7 4.13416e-05
545 540 550 4 2.36238e-05
555 550 560 3 1.77178e-05
565 560 570 2 1.18119e-05
575 570 580 1 5.90594e-06
585 580 590 1 5.90594e-06
595 590 600 2 1.18119e-05
605 600 610 2 1.18119e-05
615 610 620 3 1.77178e-05
625 620 630 2 1.18119e-05
635 630 640 3 1.77178e-05
645 640 650 2 1.18119e-05
655 650 660 2 1.18119e-05
665 660 670 1 5.90594e-06
675 670 680 0 0
685 680 690 2 1.18119e-05
695 690 700 1 5.90594e-06
705 700 710 2 1.18119e-05
715 710 720 0 0
725 720 730 0 0
