Midpoint LowerLim UpperLim Count ProbabilityDensity
-5 -10 10 0 0
5 0 20 24050 0.0748117
15 10 30 47188 0.146786
25 20 40 49696 0.154588
35 30 50 51061 0.158834
45 40 60 44533 0.138528
55 50 70 35963 0.111869
65 60 80 26336 0.0819226
75 70 90 17241 0.0536311
85 80 100 10654 0.0331411
95 90 110 6206 0.0193048
105 100 120 3994 0.012424
115 110 130 2175 0.00676571
125 120 140 1310 0.00407498
135 130 150 575 0.00178864
145 140 160 244 0.000759004
155 150 170 147 0.000457269
165 160 180 72 0.000223968
175 170 190 21 6.53241e-05
185 180 200 4 1.24427e-05
195 190 210 3 9.33201e-06
205 200 220 1 3.11067e-06
215 210 230 0 0
225 220 240 0 0
