Midpoint LowerLim UpperLim Count ProbabilityDensity
15 10 10 0 0
25 20 20 162 0.00579606
35 30 30 1909 0.0683005
45 40 40 1721 0.0615742
55 50 50 2508 0.0897317
65 60 60 2914 0.104258
75 70 70 2502 0.089517
85 80 80 2273 0.0813238
95 90 90 2475 0.088551
105 100 100 1967 0.0703757
115 110 110 1556 0.0556708
125 120 120 1491 0.0533453
135 130 130 1239 0.0443292
145 140 140 972 0.0347764
155 150 150 816 0.029195
165 160 160 733 0.0262254
175 170 170 549 0.0196422
185 180 180 371 0.0132737
195 190 190 342 0.0122361
205 200 200 266 0.00951699
215 210 210 216 0.00772809
225 220 220 180 0.00644007
235 230 230 130 0.00465116
245 240 240 107 0.00382826
255 250 250 92 0.00329159
265 260 260 92 0.00329159
275 270 270 71 0.00254025
285 280 280 55 0.0019678
295 290 290 54 0.00193202
305 300 300 38 0.00135957
315 310 310 26 0.000930233
325 320 320 24 0.000858676
335 330 330 15 0.000536673
345 340 340 13 0.000465116
355 350 350 7 0.000250447
365 360 360 8 0.000286225
375 370 370 5 0.000178891
385 380 380 3 0.000107335
395 390 390 4 0.000143113
405 400 400 4 0.000143113
415 410 410 3 0.000107335
425 420 420 4 0.000143113
435 430 430 2 7.15564e-05
445 440 440 2 7.15564e-05
455 450 450 3 0.000107335
465 460 460 4 0.000143113
475 470 470 1 3.57782e-05
485 480 480 2 7.15564e-05
495 490 490 2 7.15564e-05
505 500 500 4 0.000143113
515 510 510 1 3.57782e-05
525 520 520 3 0.000107335
535 530 530 0 0
545 540 540 2 7.15564e-05
555 550 550 1 3.57782e-05
565 560 560 2 7.15564e-05
575 570 570 0 0
585 580 580 0 0
595 590 590 1 3.57782e-05
605 600 600 0 0
615 610 610 1 3.57782e-05
625 620 620 0 0
635 630 630 1 3.57782e-05
645 640 640 0 0
655 650 650 1 3.57782e-05
665 660 660 0 0
675 670 670 0 0
