Midpoint LowerLim UpperLim Count ProbabilityDensity
5 0 10 0 0
15 10 20 1423 0.0100938
25 20 30 11547 0.0819064
35 30 40 11466 0.0813318
45 40 50 12937 0.0917661
55 50 60 14154 0.100399
65 60 70 16770 0.118955
75 70 80 14374 0.101959
85 80 90 11885 0.0843039
95 90 100 9438 0.0669466
105 100 110 7565 0.0536609
115 110 120 5916 0.041964
125 120 130 4581 0.0324944
135 130 140 3680 0.0261034
145 140 150 2845 0.0201805
155 150 160 2213 0.0156975
165 160 170 1737 0.0123211
175 170 180 1437 0.0101931
185 180 190 1205 0.00854743
195 190 200 982 0.00696563
205 200 210 812 0.00575976
215 210 220 691 0.00490147
225 220 230 552 0.0039155
235 230 240 454 0.00322036
245 240 250 367 0.00260324
255 250 260 289 0.00204997
265 260 270 248 0.00175914
275 270 280 221 0.00156762
285 280 290 151 0.00107109
295 290 300 160 0.00113493
305 300 310 130 0.00092213
315 310 320 108 0.000766077
325 320 330 108 0.000766077
335 330 340 88 0.000624211
345 340 350 81 0.000574558
355 350 360 60 0.000425598
365 360 370 59 0.000418505
375 370 380 40 0.000283732
385 380 390 37 0.000262452
395 390 400 31 0.000219892
405 400 410 21 0.000148959
415 410 420 20 0.000141866
425 420 430 12 8.51197e-05
435 430 440 18 0.000127679
445 440 450 9 6.38397e-05
455 450 460 14 9.93063e-05
465 460 470 9 6.38397e-05
475 470 480 8 5.67464e-05
485 480 490 5 3.54665e-05
495 490 500 4 2.83732e-05
505 500 510 6 4.25598e-05
515 510 520 3 2.12799e-05
525 520 530 2 1.41866e-05
535 530 540 2 1.41866e-05
545 540 550 1 7.09331e-06
555 550 560 0 0
565 560 570 0 0
575 570 580 0 0
585 580 590 1 7.09331e-06
595 590 600 0 0
605 600 610 0 0
615 610 620 1 7.09331e-06
625 620 630 0 0
635 630 640 0 0
