Midpoint LowerLim UpperLim Count ProbabilityDensity
-5 -10 10 0 0
5 0 20 12216 0.0289442
15 10 30 72117 0.170871
25 20 40 84850 0.201041
35 30 50 82937 0.196508
45 40 60 64621 0.153111
55 50 70 42688 0.101143
65 60 80 26333 0.0623925
75 70 90 15169 0.0359409
85 80 100 8902 0.0210921
95 90 110 5361 0.0127022
105 100 120 3092 0.00732608
115 110 130 1664 0.00394262
125 120 140 895 0.00212058
135 130 150 511 0.00121075
145 140 160 278 0.000658683
155 150 170 157 0.00037199
165 160 180 75 0.000177702
175 170 190 50 0.000118468
185 180 200 51 0.000120838
195 190 210 50 0.000118468
205 200 220 16 3.79098e-05
215 210 230 9 2.13243e-05
225 220 240 11 2.6063e-05
235 230 250 1 2.36937e-06
245 240 260 0 0
255 250 270 0 0
