Midpoint LowerLim UpperLim Count ProbabilityDensity
-5 -10 10 0 0
5 0 20 4037 0.0317392
15 10 30 6978 0.0548615
25 20 40 9011 0.0708451
35 30 50 12934 0.101688
45 40 60 18543 0.145786
55 50 70 20929 0.164545
65 60 80 19082 0.150024
75 70 90 13266 0.104298
85 80 100 8396 0.0660099
95 90 110 5810 0.0456786
105 100 120 3678 0.0289167
115 110 130 2184 0.0171708
125 120 140 1176 0.00924579
135 130 150 508 0.00399393
145 140 160 332 0.00261021
155 150 170 162 0.00127365
165 160 180 82 0.00064469
175 170 190 84 0.000660414
185 180 200 1 7.86207e-06
195 190 210 0 0
205 200 220 0 0
