Midpoint LowerLim UpperLim Count ProbabilityDensity
55 50 10 0 0
65 60 20 624 0.237805
75 70 30 403 0.153582
85 80 40 346 0.13186
95 90 50 278 0.105945
105 100 60 129 0.0491616
115 110 70 158 0.0602134
125 120 80 128 0.0487805
135 130 90 96 0.0365854
145 140 100 64 0.0243902
155 150 110 58 0.0221037
165 160 120 81 0.0308689
175 170 130 43 0.0163872
185 180 140 27 0.0102896
195 190 150 31 0.011814
205 200 160 24 0.00914634
215 210 170 19 0.00724085
225 220 180 9 0.00342988
235 230 190 8 0.00304878
245 240 200 13 0.00495427
255 250 210 13 0.00495427
265 260 220 10 0.00381098
275 270 230 5 0.00190549
285 280 240 9 0.00342988
295 290 250 6 0.00228659
305 300 260 6 0.00228659
315 310 270 2 0.000762195
325 320 280 4 0.00152439
335 330 290 3 0.00114329
345 340 300 1 0.000381098
355 350 310 1 0.000381098
365 360 320 3 0.00114329
375 370 330 1 0.000381098
385 380 340 2 0.000762195
395 390 350 3 0.00114329
405 400 360 3 0.00114329
415 410 370 0 0
425 420 380 3 0.00114329
435 430 390 2 0.000762195
445 440 400 1 0.000381098
455 450 410 1 0.000381098
465 460 420 2 0.000762195
475 470 430 0 0
485 480 440 0 0
495 490 450 0 0
505 500 460 1 0.000381098
515 510 470 0 0
525 520 480 0 0
535 530 490 0 0
545 540 500 1 0.000381098
555 550 510 0 0
565 560 520 0 0
575 570 530 0 0
585 580 540 1 0.000381098
595 590 550 0 0
605 600 560 0 0
615 610 570 0 0
625 620 580 0 0
635 630 590 0 0
645 640 600 0 0
655 650 610 1 0.000381098
665 660 620 0 0
675 670 630 0 0
