Midpoint LowerLim UpperLim Count ProbabilityDensity
15 10 10 0 0
25 20 20 4722 0.133658
35 30 30 6295 0.178182
45 40 40 7117 0.201449
55 50 50 6213 0.175861
65 60 60 4307 0.121911
75 70 70 2677 0.0757734
85 80 80 1666 0.0471567
95 90 90 1031 0.0291828
105 100 100 574 0.0162473
115 110 110 300 0.00849161
125 120 120 189 0.00534971
135 130 130 98 0.00277393
145 140 140 51 0.00144357
155 150 150 38 0.0010756
165 160 160 17 0.000481191
175 170 170 18 0.000509496
185 180 180 7 0.000198138
195 190 190 6 0.000169832
205 200 200 1 2.83054e-05
215 210 210 2 5.66107e-05
225 220 220 0 0
235 230 230 0 0
