Midpoint LowerLim UpperLim Count ProbabilityDensity
5 0 10 0 0
15 10 20 17267 0.173725
25 20 30 18333 0.18445
35 30 40 17682 0.1779
45 40 50 14812 0.149025
55 50 60 11512 0.115823
65 60 70 7634 0.0768062
75 70 80 5177 0.0520862
85 80 90 3050 0.0306863
95 90 100 1917 0.0192871
105 100 110 1121 0.0112785
115 110 120 480 0.00482931
125 120 130 203 0.0020424
135 130 140 114 0.00114696
145 140 150 36 0.000362199
155 150 160 25 0.000251527
165 160 170 23 0.000231405
175 170 180 4 4.02443e-05
185 180 190 0 0
195 190 200 1 1.00611e-05
205 200 210 2 2.01221e-05
215 210 220 0 0
225 220 230 0 0
