Midpoint LowerLim UpperLim Count ProbabilityDensity
-5 -10 10 0 0
5 0 20 25636 0.0793534
15 10 30 46595 0.14423
25 20 40 49392 0.152888
35 30 50 51013 0.157905
45 40 60 44898 0.138977
55 50 70 35895 0.111109
65 60 80 25650 0.0793968
75 70 90 17766 0.0549927
85 80 100 10883 0.0336871
95 90 110 6473 0.0200365
105 100 120 4123 0.0127623
115 110 130 2073 0.00641675
125 120 140 1349 0.00417568
135 130 150 776 0.00240202
145 140 160 304 0.000940999
155 150 170 137 0.000424069
165 160 180 70 0.000216677
175 170 190 20 6.19078e-05
185 180 200 4 1.23816e-05
195 190 210 3 9.28617e-06
205 200 220 1 3.09539e-06
215 210 230 0 0
225 220 240 0 0
