Midpoint LowerLim UpperLim Count ProbabilityDensity
-5 -10 10 0 0
5 0 20 7269 0.0230715
15 10 30 12679 0.0402426
25 20 40 14894 0.0472729
35 30 50 18982 0.0602481
45 40 60 25834 0.081996
55 50 70 33478 0.106258
65 60 80 35146 0.111552
75 70 90 31539 0.100103
85 80 100 27677 0.0878456
95 90 110 22535 0.0715251
105 100 120 18186 0.0577216
115 110 130 13993 0.0444132
125 120 140 10861 0.0344724
135 130 150 8407 0.0266835
145 140 160 6620 0.0210116
155 150 170 5340 0.0169489
165 160 180 3909 0.012407
175 170 190 3051 0.00968375
185 180 200 2449 0.00777302
195 190 210 1970 0.0062527
205 200 220 1645 0.00522116
215 210 230 1355 0.00430071
225 220 240 1134 0.00359927
235 230 250 962 0.00305335
245 240 260 833 0.00264391
255 250 270 658 0.00208846
265 260 280 559 0.00177424
275 270 290 522 0.00165681
285 280 300 403 0.00127911
295 290 310 367 0.00116484
305 300 320 313 0.000993449
315 310 330 188 0.000596704
325 320 340 137 0.000434832
335 330 350 134 0.00042531
345 340 360 122 0.000387223
355 350 370 101 0.00032057
365 360 380 73 0.000231699
375 370 390 77 0.000244395
385 380 400 72 0.000228525
395 390 410 65 0.000206307
405 400 420 51 0.000161872
415 410 430 46 0.000146002
425 420 440 28 8.88708e-05
435 430 450 30 9.52187e-05
445 440 460 42 0.000133306
455 450 470 31 9.83927e-05
465 460 480 20 6.34792e-05
475 470 490 34 0.000107915
485 480 500 31 9.83927e-05
495 490 510 32 0.000101567
505 500 520 29 9.20448e-05
515 510 530 33 0.000104741
525 520 540 21 6.66531e-05
535 530 550 21 6.66531e-05
545 540 560 12 3.80875e-05
555 550 570 10 3.17396e-05
565 560 580 4 1.26958e-05
575 570 590 7 2.22177e-05
585 580 600 7 2.22177e-05
595 590 610 11 3.49135e-05
605 600 620 11 3.49135e-05
615 610 630 6 1.90437e-05
625 620 640 7 2.22177e-05
635 630 650 1 3.17396e-06
645 640 660 0 0
655 650 670 0 0
