Midpoint LowerLim UpperLim Count ProbabilityDensity
35 30 10 0 0
45 40 20 3912 0.214615
55 50 30 3586 0.19673
65 60 40 2874 0.15767
75 70 50 2100 0.115207
85 80 60 1565 0.0858569
95 90 70 1135 0.0622668
105 100 80 876 0.0480579
115 110 90 633 0.0347268
125 120 100 410 0.0224929
135 130 110 312 0.0171165
145 140 120 235 0.0128923
155 150 130 168 0.00921659
165 160 140 104 0.00570551
175 170 150 73 0.00400483
185 180 160 53 0.00290761
195 190 170 46 0.00252359
205 200 180 42 0.00230415
215 210 190 30 0.00164582
225 220 200 17 0.000932631
235 230 210 12 0.000658328
245 240 220 13 0.000713188
255 250 230 11 0.000603467
265 260 240 5 0.000274303
275 270 250 2 0.000109721
285 280 260 6 0.000329164
295 290 270 8 0.000438885
305 300 280 0 0
315 310 290 0 0
