Midpoint LowerLim UpperLim Count ProbabilityDensity
45 40 10 0 0
55 50 20 750 0.309661
65 60 30 642 0.26507
75 70 40 448 0.184971
85 80 50 245 0.101156
95 90 60 128 0.0528489
105 100 70 83 0.0342692
115 110 80 51 0.021057
125 120 90 29 0.0119736
135 130 100 15 0.00619323
145 140 110 15 0.00619323
155 150 120 7 0.00289017
165 160 130 3 0.00123865
175 170 140 2 0.000825764
185 180 150 1 0.000412882
195 190 160 1 0.000412882
205 200 170 1 0.000412882
215 210 180 1 0.000412882
225 220 190 0 0
235 230 200 0 0
